                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.75679,                 0.7625,                 1.1129,                0.79833,                0.75054,                0.80903,                0.62622,                 1.0459,                 1.1104,                 1.3259,             6.0024e-05,             6.0024e-05,             6.0024e-05
                     84,                0.75482,                0.77546,                 1.1146,                0.78344,                0.77003,                0.80475,                0.62907,                 1.0495,                 1.1369,                 1.3331,             5.7025e-05,             5.7025e-05,             5.7025e-05
                     85,                 0.7603,                0.78211,                 1.1171,                0.76703,                0.75941,                 0.8101,                0.63089,                 1.0461,                 1.1405,                  1.336,             5.4025e-05,             5.4025e-05,             5.4025e-05
                     86,                0.75377,                0.77067,                 1.1181,                 0.7739,                0.77144,                0.81024,                0.62885,                 1.0377,                  1.098,                 1.3344,             5.1025e-05,             5.1025e-05,             5.1025e-05
                     87,                0.75204,                0.75552,                  1.113,                0.80247,                0.76655,                0.81685,                0.63011,                 1.0638,                 1.1279,                 1.3477,             4.8026e-05,             4.8026e-05,             4.8026e-05
                     88,                0.75571,                0.75203,                 1.1078,                 0.7865,                0.78006,                0.81712,                0.63384,                  1.045,                 1.0892,                 1.3409,             4.5026e-05,             4.5026e-05,             4.5026e-05
                     89,                0.74372,                0.75345,                 1.1074,                0.77143,                 0.7821,                0.81588,                0.63061,                 1.0419,                 1.1163,                 1.3384,             4.2026e-05,             4.2026e-05,             4.2026e-05
                     90,                0.73059,                0.73532,                 1.1057,                0.79646,                 0.7798,                0.81865,                0.63171,                 1.0492,                 1.0872,                 1.3371,             3.9026e-05,             3.9026e-05,             3.9026e-05
                     91,                 0.6853,                0.73379,                 1.0921,                0.77956,                0.76952,                0.80259,                0.61809,                 1.0505,                  1.161,                 1.3528,             3.6027e-05,             3.6027e-05,             3.6027e-05
                     92,                 0.6695,                0.68263,                 1.0724,                0.84148,                 0.7256,                0.81185,                0.62243,                 1.0473,                 1.1348,                  1.344,             3.3027e-05,             3.3027e-05,             3.3027e-05
                     93,                0.65773,                0.67328,                 1.0659,                  0.767,                0.77719,                0.81428,                  0.632,                 1.0493,                 1.1373,                 1.3383,             3.0027e-05,             3.0027e-05,             3.0027e-05
                     94,                0.65473,                0.66048,                 1.0636,                0.83645,                0.73526,                0.81475,                0.62421,                 1.0527,                  1.128,                 1.3497,             2.7028e-05,             2.7028e-05,             2.7028e-05
                     95,                0.64832,                 0.6519,                 1.0604,                0.78269,                0.77011,                0.81732,                0.63693,                 1.0354,                 1.1425,                 1.3293,             2.4028e-05,             2.4028e-05,             2.4028e-05
                     96,                0.64292,                0.65112,                 1.0598,                0.79287,                0.75356,                0.81483,                 0.6355,                 1.0323,                 1.1254,                 1.3287,             2.1028e-05,             2.1028e-05,             2.1028e-05
                     97,                0.63706,                0.63889,                 1.0472,                0.76429,                0.79361,                0.81244,                0.63217,                 1.0457,                 1.1183,                 1.3397,             1.8029e-05,             1.8029e-05,             1.8029e-05
                     98,                0.64868,                0.65398,                 1.0571,                0.81399,                 0.7256,                0.81281,                0.63271,                 1.0438,                 1.1117,                  1.344,             1.5029e-05,             1.5029e-05,             1.5029e-05
                     99,                0.63585,                0.63725,                 1.0562,                0.78328,                0.74761,                0.81031,                0.63098,                 1.0426,                 1.1282,                 1.3443,             1.2029e-05,             1.2029e-05,             1.2029e-05
                    100,                0.63936,                0.63004,                 1.0486,                0.78931,                0.74889,                0.80775,                0.62712,                 1.0406,                 1.1275,                 1.3421,             9.0294e-06,             9.0294e-06,             9.0294e-06
